Movie,Scene,Character,Dialogue
AMERICAN_PSYCHO,INT. 'PASTELS' RESTAURANT - NIGHT,BATEMAN V/O,"...with goat cheese profiteroles and i also havean.arugula caesar salad. for entrees tonight i have a swordfish meatloaf with onion marmalade, a rareroasted partridge breast in raspberry coulis with a sorrel timbale... huge white porcelain plates descend on very pale pink linen table cloths. each entree is a rectangle about four inches square and looks exactly alike. close on various diners as we hear fragments of conversation. ""is that charley sheen over there?"" ""excuse me? i ordered cactus pear sorbet."" ...and grilled free range rabbit with herbed french fries. ourpasta tonight is a squid ravioli in a lemon grass broth... close on porcelain plates containing elaborate perpendicular desserts descending on another table. patrick bateman, timothy price, craig mcdermott and david van patten are at a table set for four. they are all wearing expensively cut suits, suspendprs, slicked back hair. van patten wears horn rimmed glasses. thecamera moves in on bateman as his narration begins"
AMERICAN_PSYCHO,INT. 'PASTELS' RESTAURANT - NIGHT,MCDERMOTT,"you'll notice that my friends and i all look and behave in a remarkably similar fashion but there are subtle differences between us. mcdermott is the biggest asshole. van patten is the yes man. price is the most wired. i'm the best looking. we all have light tans. right now i'm in a bad mood because this is not a good table, and van patten keeps asking dumb, obvious questions about how to dress... what are the rules for a sweater vest? what do you mean? yes. clarify. well, is it strictly informalbateman or can it be worn with a suit? exactly. with discreet pinstripes you should wear a subdued blue or charcoal gray vest. a plaid suit would call for a bolder vest. but avoid matching the vest's pattern with your socks or tie. wearing argyle socks with an argyle vest will look too studied."
AMERICAN_PSYCHO,INT. 'PASTELS' RESTAURANT - NIGHT,MCDERMOTT,"you think so? you'll look like you consciously worked for the look. good point. excuse me, gentlemen. van patten leaves the table. as he does so a bus boy discretely removes their largely untouched plates. van patten looks puffy. has he stopped working out? it looks that way, doesn't it? did he just take our plates away? he took them away because the portions are so small he probably thought we were finished. god i hate this place. this is a chick's restaurant. why aren't we at dorsia? because bateman won't give the maitre d'head. bateman throws a swizzle stick at him. mcdermott scans the room, settling on a handsome young man with slicked back hair and hornrimmed glasses. is that reed robinson over there? are you freebasing or what? that's not robinson. who is it then?"
AMERICAN_PSYCHO,INT. 'PASTELS' RESTAURANT - NIGHT,MCDERMOTT,"that s paul owen. that's not paul owen. paul owen's on the other side of the room. over there. he points to another handsome young man with slicked back hair and'hornrimmed glasses. who is he with? some weasel from kicker peabody. van patten returns. they don' t have a good bathroom to do coke in. are you sure that's paul owen over there? yes, mcdufus, i am. he's handling the fisher account. lucky bastard. lucky jew bastard. oh jesus, mcdermott, what does that have to do with anything?"
AMERICAN_PSYCHO,INT. 'PASTELS' RESTAURANT - NIGHT,VAN PATTEN,"you spin a dreidel, mcdermott, not a menorah. you spin a dreidel. oh my god bateman, do you want me to fry you up some fucking potato pancakes? some latkes? no. just cool it with the antisemitic remarks. oh i forgot. bateman's dating someone from the aclu. price leans over and pats bateman on the back. the voice of reason. the boy next door. and speaking of reasonable... he shows mcdermott the bill for the meal. only 470. not bad. the others murmur agreement. four platinum amex cards slap down on the table."
AMERICAN_PSYCHO,INT. LIMOUSINE - NIGHT,VAN PATTEN,last week i picked up this vassar chick
AMERICAN_PSYCHO,INT. LIMOUSINE - NIGHT,MCDERMOTT,"but i never told you what happened afterwards. so okay, i pick up this vassar chick at tunnel hot number, big tits, great legs, this chick was a little hardbody and so i buy her a couple of champagne kirs and she's in the city on spring break and she's practically blowing me in the chandelier room and so i take her back to my place whoa, wait. may i ask where pamela is during all this? oh fuck you. i want a blowjob, bateman. i want a chick who's gonna let me i don't want to hear this. he's going to say something disgusting. you prude. listen, we're not gonna invest in a coop together or jet down to saint bart's. i just want some chick whose face i can sit on for thirty, forty minutes. price throws a cigar at mcdermott, who catches it. anyway, so were back at my place,and listen to this. she's had enough champagne by now to get a fucking rhino tipsy, and get this she let you fuck her without a condom?"
AMERICAN_PSYCHO,INT. LIMOUSINE - NIGHT,IN UNISON,never date a vassar girl.
AMERICAN_PSYCHO,EXT. 'TUNNEL'NIGHTCLUB - NIGHT,PRICE,"i suppose he doesn't want the car. price, ask him if he takes american express. you take amex, dude? the man stumbles away. the club doorman, seeing the limousine, unhooks the velvet rope and welcomes them inside."
AMERICAN_PSYCHO,"INT. LADIES ROOM,TUNNEL - NIGHT",PRICE,"i'm not sure, guy, but i don't think dyslexia is a virus. oh, who knows? they dont know that. prove it. price and bateman finally get a stall and rush in. price is sweating. i'm shaking. you open it. bateman opens a tiny packet of coke. jeez. that's not a helluva a lot, is it? maybe it's just the light. is he fucking selling it by the milligram? oh my god... what?"
